"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_ID";"SPICEPREFIX";"STANDARD";"TP_SIGNAL_NAME";"VALUE";
"3";"470n/400V";"C-EUC1812";"C1812";"C15, C16, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";
"2";"47n";"C-EUC1206";"C1206";"C10, C25";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";
"1";"4k3";"R-EU_R1206";"R1206";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"1";"4k7";"R-EU_R1206";"R1206";"R43";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"1";"5R";"R-EU_R1206";"R1206";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"1";"5k1";"R-EU_R1206";"R1206";"R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"2";"680R";"R-EU_R1206";"R1206";"R15, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"3";"68k";"R-EU_R1206";"R1206";"R12, R23, R25";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"1";"7447709101";"7447709101";"INDM120120X1000N";"L4";"Fixed Inductors WE-PD 1210 100uH 2.5A .11Ohm";"Fixed Inductors WE-PD 1210 100uH 2.5A .11Ohm";"10mm";"";"Wurth Elektronik";"7447709101";"";"710-7447709101";"https://www.mouser.com/Search/Refine.aspx?Keyword=710-7447709101";"";"";"";"";"";"";"";"";"";"";"";
"1";"74HC595D";"74HC595D";"SO16";"IC11";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
